contestant_id,season_number,age,age_n,hometown_city,hometown_state,Lat,Lng,Wins,Wins_n,High,High_n,Safe,Safe_n,Low,Low_n,Bottom,Bottom_n,Number_of_Episodes,season_outcome,Label
101,8,32,-0.29032258064516125,Las Vegas,Nevada,36.2333,-115.2654,1,-0.375,2,-0.25,1,-0.6666666666666667,2,0.0,1,-0.625,8,5,2
102,9,37,0.032258064516129004,New York,New York,40.6943,-73.9249,1,-0.6153846153846154,3,-0.3076923076923076,5,0.025641025641025772,1,-0.6923076923076923,2,-0.5384615384615384,13,2,1
103,9,25,-0.7419354838709677,Los Angeles,California,34.1139,-118.4068,1,-0.5,3,-0.09999999999999998,4,0.06666666666666665,0,-1.0,0,-1.0,10,7,3
105,9,52,1.0,Boston,Massachusetts,42.3188,-71.0846,0,-1.0,0,-1.0,2,0.33333333333333326,1,0.0,0,-1.0,4,12,4
106,9,23,-0.8709677419354839,Las Vegas,Nevada,36.2333,-115.2654,0,-1.0,1,-0.625,3,0.0,2,0.0,1,-0.625,8,8,3
107,9,29,-0.4838709677419355,Brooklyn,New York,40.6501,-73.9496,2,-0.23076923076923073,5,0.15384615384615397,4,-0.1794871794871794,1,-0.6923076923076923,0,-1.0,13,1,1
108,9,32,-0.29032258064516125,New York,New York,40.6943,-73.9249,1,-0.5454545454545454,2,-0.4545454545454545,4,-0.030303030303030276,2,-0.2727272727272727,1,-0.7272727272727273,11,5,2
109,9,27,-0.6129032258064516,Chicago,Illinois,41.8373,-87.6862,4,0.5384615384615385,3,-0.3076923076923076,4,-0.1794871794871794,0,-1.0,1,-0.7692307692307692,13,3,1
110,9,31,-0.3548387096774194,Orlando,Florida,28.4772,-81.3369,3,0.15384615384615374,2,-0.5384615384615384,4,-0.1794871794871794,2,-0.3846153846153846,1,-0.7692307692307692,13,3,1
111,9,27,-0.6129032258064516,Las Vegas,Nevada,36.2333,-115.2654,0,-1.0,0,-1.0,1,-0.11111111111111116,0,-1.0,1,0.0,3,13,4
112,9,26,-0.6774193548387097,Milwaukee,Wisconsin,43.0642,-87.9673,0,-1.0,0,-1.0,1,0.33333333333333326,0,-1.0,0,-1.0,2,14,4
113,9,34,-0.16129032258064513,Riverdale,Georgia,33.564,-84.4103,1,-0.5,1,-0.7,4,0.06666666666666665,1,-0.6,2,-0.3999999999999999,10,6,2
114,9,22,-0.935483870967742,Brooklyn,New York,40.6501,-73.9496,0,-1.0,1,-0.5714285714285714,4,0.5238095238095237,0,-1.0,1,-0.5714285714285714,7,9,3
115,9,35,-0.09677419354838712,Austin,Texas,30.3004,-97.7522,0,-1.0,0,-1.0,3,0.5999999999999999,0,-1.0,1,-0.3999999999999999,5,10,4
116,10,27,-0.6129032258064516,Johnson City,Tennessee,36.3406,-82.3803,2,-0.23076923076923073,4,-0.07692307692307687,4,-0.1794871794871794,0,-1.0,2,-0.5384615384615384,13,2,1
117,10,35,-0.09677419354838712,Dallas,Texas,32.7936,-96.7662,2,-0.23076923076923073,2,-0.5384615384615384,5,0.025641025641025772,2,-0.3846153846153846,1,-0.7692307692307692,13,4,2
118,10,33,-0.22580645161290325,New York,New York,40.6943,-73.9249,1,-0.5454545454545454,4,0.09090909090909105,3,-0.2727272727272728,2,-0.2727272727272727,0,-1.0,11,5,2
119,10,27,-0.6129032258064516,New York,New York,40.6943,-73.9249,0,-1.0,1,0.0,1,-0.11111111111111116,0,-1.0,0,-1.0,3,12,4
120,10,22,-0.935483870967742,Indianapolis,Indiana,39.7771,-86.1458,0,-1.0,3,0.5,2,-0.11111111111111116,0,-1.0,0,-1.0,6,9,3
121,10,27,-0.6129032258064516,Bronx,New York,40.8501,-73.8662,0,-1.0,5,0.36363636363636376,2,-0.5151515151515151,0,-1.0,2,-0.4545454545454545,11,6,2
122,10,31,-0.3548387096774194,Nashville,Tennessee,36.1715,-86.7843,1,-0.6153846153846154,3,-0.3076923076923076,4,-0.1794871794871794,1,-0.6923076923076923,3,-0.3076923076923076,13,2,1
123,10,35,-0.09677419354838712,Riverside,California,33.9381,-117.3948,1,0.0,1,-0.3999999999999999,1,-0.4666666666666667,0,-1.0,1,-0.3999999999999999,5,10,3
124,10,27,-0.6129032258064516,Albuquerque,New Mexico,35.1053,-106.6464,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,0.5,2,13,4
125,10,31,-0.3548387096774194,Kansas City,Missouri,39.1239,-94.5541,0,-1.0,1,-0.5714285714285714,4,0.5238095238095237,1,-0.4285714285714286,0,-1.0,7,8,3
126,10,29,-0.4838709677419355,New York,New York,40.6943,-73.9249,0,-1.0,0,-1.0,2,0.33333333333333326,1,0.0,0,-1.0,4,11,4
127,10,26,-0.6774193548387097,Chicago,Illinois,41.8373,-87.6862,1,-0.375,0,-1.0,3,0.0,1,-0.5,2,-0.25,8,7,2
128,10,25,-0.7419354838709677,Tampa,Florida,27.9942,-82.4451,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,14,4
129,10,21,-1.0,Brooklyn,New York,40.6501,-73.9496,3,0.15384615384615374,1,-0.7692307692307692,6,0.23076923076923084,2,-0.3846153846153846,0,-1.0,13,1,1
130,11,26,-0.6774193548387097,Tampa,Florida,27.9942,-82.4451,0,-1.0,3,-0.25,4,-0.11111111111111116,2,-0.33333333333333337,2,-0.5,12,5,2
131,11,39,0.16129032258064524,Columbus,Ohio,39.9862,-82.985,2,-0.09090909090909094,1,-0.7272727272727273,4,-0.030303030303030276,3,0.09090909090909083,0,-1.0,11,6,2
132,11,40,0.22580645161290325,New York,New York,40.6943,-73.9249,0,-1.0,3,-0.09999999999999998,3,-0.20000000000000007,1,-0.6,2,-0.3999999999999999,10,7,2
133,11,21,-1.0,Southlake,Texas,32.9545,-97.1503,1,-0.44444444444444453,3,0.0,3,-0.11111111111111116,0,-1.0,1,-0.6666666666666667,9,8,3
134,11,31,-0.3548387096774194,Minneapolis,Minnesota,44.9635,-93.2678,0,-1.0,1,-0.25,0,-1.0,1,0.0,1,-0.25,4,12,4
135,11,26,-0.6774193548387097,Brooklyn,New York,40.6501,-73.9496,1,-0.16666666666666674,0,-1.0,3,0.33333333333333326,0,-1.0,1,-0.5,6,10,3
136,11,32,-0.29032258064516125,New York,New York,40.6943,-73.9249,0,-1.0,0,-1.0,2,0.7777777777777777,0,-1.0,0,-1.0,3,13,4
137,11,30,-0.4193548387096774,Dallas,Texas,32.7936,-96.7662,2,-0.23076923076923073,2,-0.5384615384615384,6,0.23076923076923084,0,-1.0,2,-0.5384615384615384,13,4,2
138,11,24,-0.8064516129032258,Denver,Colorado,39.7621,-104.8759,1,-0.6153846153846154,5,0.15384615384615397,4,-0.1794871794871794,1,-0.6923076923076923,1,-0.7692307692307692,13,1,1
139,11,28,-0.5483870967741935,Chicago,Illinois,41.8373,-87.6862,2,-0.23076923076923073,3,-0.3076923076923076,4,-0.1794871794871794,2,-0.3846153846153846,1,-0.7692307692307692,13,3,1
140,11,32,-0.29032258064516125,Nashville,Tennessee,36.1715,-86.7843,3,0.15384615384615374,6,0.3846153846153848,0,-1.0,1,-0.6923076923076923,2,-0.5384615384615384,13,2,1
141,11,26,-0.6774193548387097,Cherry Hill,New Jersey,39.9384,-75.0117,0,-1.0,1,-0.3999999999999999,2,0.06666666666666665,1,-0.19999999999999996,0,-1.0,5,11,3
142,11,33,-0.22580645161290325,Dallas,Texas,32.7936,-96.7662,0,-1.0,0,-1.0,3,0.1428571428571428,0,-1.0,3,0.2857142857142858,7,9,3
143,11,25,-0.7419354838709677,Las Vegas,Nevada,36.2333,-115.2654,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,0.5,2,14,4
144,11,27,-0.6129032258064516,Chicago,Illinois,41.8373,-87.6862,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,15,4
145,12,32,-0.29032258064516125,Milwaukee,Wisconsin,43.0642,-87.9673,3,0.25,3,-0.25,4,-0.11111111111111116,0,-1.0,1,-0.75,12,1,1
146,12,28,-0.5483870967741935,Springfield,Missouri,37.1943,-93.2916,1,-0.5833333333333334,4,0.0,3,-0.33333333333333337,2,-0.33333333333333337,1,-0.75,12,2,1
147,12,21,-1.0,Los Angeles,California,34.1139,-118.4068,4,0.6666666666666665,2,-0.5,3,-0.33333333333333337,2,-0.33333333333333337,0,-1.0,12,3,1
149,12,34,-0.16129032258064513,New York,New York,40.6943,-73.9249,0,-1.0,6,0.6363636363636362,1,-0.7575757575757576,1,-0.6363636363636364,2,-0.4545454545454545,11,5,2
150,12,24,-0.8064516129032258,Ramseur,North Carolina,35.7372,-79.6543,1,-0.5,2,-0.3999999999999999,2,-0.4666666666666667,1,-0.6,3,-0.09999999999999998,10,6,2
151,12,30,-0.4193548387096774,Kansas City,Missouri,39.1239,-94.5541,1,-0.375,1,-0.625,4,0.33333333333333326,0,-1.0,1,-0.625,8,7,3
152,12,26,-0.6774193548387097,New York,New York,40.6943,-73.9249,0,-1.0,3,0.2857142857142858,3,0.1428571428571428,0,-1.0,0,-1.0,7,8,3
153,12,34,-0.16129032258064513,New York,New York,40.6943,-73.9249,0,-1.0,1,-0.5,1,-0.5555555555555556,1,-0.33333333333333337,2,0.0,6,9,3
154,12,29,-0.4838709677419355,Acworth,Georgia,34.0566,-84.6715,0,-1.0,2,0.20000000000000018,1,-0.4666666666666667,1,-0.19999999999999996,0,-1.0,5,10,4
155,12,28,-0.5483870967741935,New York,New York,40.6943,-73.9249,0,-1.0,1,-0.25,0,-1.0,1,0.0,1,-0.25,4,11,4
156,12,28,-0.5483870967741935,San Francisco,California,37.7562,-122.443,0,-1.0,0,-1.0,1,-0.11111111111111116,1,0.33333333333333326,0,-1.0,3,12,4
157,12,28,-0.5483870967741935,Los Angeles,California,34.1139,-118.4068,0,-1.0,0,-1.0,0,-1.0,1,1.0,0,-1.0,2,13,4
